From Bus,To Bus,Resistance (pu),Reactance (pu),Line charging (pu),Tap Ratio,
54,1,0,0.0181,0,1.025,
58,2,0,0.025,0,1.07,
62,3,0,0.02,0,1.07,
19,4,0.0007,0.0142,0,1.07,
20,5,0.0009,0.018,0,1.009,
22,6,0,0.0143,0,1.025,
23,7,0.0005,0.0272,0,0,
25,8,0.0006,0.0232,0,1.025,
29,9,0.0008,0.0156,0,1.025,
31,10,0,0.026,0,1.04,
32,11,0,0.013,0,1.04,
36,12,0,0.0075,0,1.04,
17,13,0,0.0033,0,1.04,
41,14,0,0.0015,0,1,
42,15,0,0.0015,0,1,
18,16,0,0.003,0,1,
36,17,0.0005,0.0045,0.32,0,
49,18,0.0076,0.1141,1.16,0,
68,19,0.0016,0.0195,0.304,1,
19,20,0.0007,0.0138,0,1.06,
68,21,0.0008,0.0135,0.2548,0,
21,22,0.0008,0.014,0.2565,0,
22,23,0.0006,0.0096,0.1846,0,
23,24,0.0022,0.035,0.361,0,
68,24,0.0003,0.0059,0.068,0,
54,25,0.007,0.0086,0.146,0,
25,26,0.0032,0.0323,0.531,0,
37,27,0.0013,0.0173,0.3216,0,
26,27,0.0014,0.0147,0.2396,0,
26,28,0.0043,0.0474,0.7802,0,
26,29,0.0057,0.0625,1.029,0,
28,29,0.0014,0.0151,0.249,0,
53,30,0.0008,0.0074,0.48,0,
61,30,0.0019,0.0183,0.29,0,
61,30,0.0019,0.0183,0.29,0,Dupe
30,31,0.0013,0.0187,0.333,0,
53,31,0.0016,0.0163,0.25,0,
30,32,0.0024,0.0288,0.488,0,
32,33,0.0008,0.0099,0.168,0,
33,34,0.0011,0.0157,0.202,0,
35,34,0.0001,0.0074,0,0.946,
34,36,0.0033,0.0111,1.45,0,
61,36,0.0022,0.0196,0.34,0,
61,36,0.0022,0.0196,0.34,0,Dupe
68,37,0.0007,0.0089,0.1342,0,
31,38,0.0011,0.0147,0.247,0,
33,38,0.0036,0.0444,0.693,0,
41,40,0.006,0.084,3.15,0,
48,40,0.002,0.022,1.28,0,
42,41,0.004,0.06,2.25,0,
18,42,0.004,0.006,2.25,0,
17,43,0.0005,0.0276,0,0,
39,44,0,0.0411,0,0,
43,44,0.0001,0.0011,0,0,
35,45,0.0007,0.0175,1.39,0,
39,45,0,0.0839,0,0,
44,45,0.0025,0.073,0,0,
38,46,0.0022,0.0284,0.43,0,
53,47,0.0013,0.0188,1.31,0,
47,48,0.0025,0.0268,0.4,0,
47,48,0.0025,0.0268,0.4,0,Dupe
46,49,0.0018,0.0274,0.27,0,
45,51,0.0004,0.0105,0.72,0,
50,51,0.0009,0.0221,1.62,0,
,,,,,,
,,,,,,
37,52,0.0007,0.0082,0.1319,0,
55,52,0.0011,0.0133,0.2138,0,
53,54,0.0035,0.0411,0.6987,0,
54,55,0.0013,0.0151,0.2572,0,
55,56,0.0013,0.0213,0.2214,0,
56,57,0.0008,0.0128,0.1342,0,
57,58,0.0002,0.0026,0.0434,0,
59,60,0.0004,0.0046,0.078,0,
60,61,0.0023,0.0363,0.3804,0,
58,63,0.0007,0.0082,0.1389,0,
62,63,0.0004,0.0043,0.0729,0,
64,63,0.0016,0.0435,0,1.06,
62,65,0.0004,0.0043,0.0729,0,
64,65,0.0016,0.0435,0,1.06,
65,66,0.0009,0.0101,0.1723,0,
66,67,0.0018,0.0217,0.366,0,
67,68,0.0009,0.0094,0.171,0,
53,27,0.032,0.32,0.41,1,
69,18,0.0006,0.0144,1.03,0,
50,69,0.0006,0.0144,1.03,0,
